번호,회사명,종목코드,폐지일자,폐지사유,비고
1078,이코리아리츠,138440,2015-09-16,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
1077,삼성물산,000830,2015-09-15,해산 사유 발생,
1076,SK,003600,2015-08-17,해산 사유 발생,
1075,칩스앤미디어,094360,2015-08-05,코스닥시장 이전상장,칩스앤미디어
1074,디아이디,074130,2015-07-23,"기업의 계속성, 경영의 투명성 또는 그 밖에 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
1073,동성하이켐,013450,2015-07-20,피흡수합병,
1072,와이즈파워,040670,2015-07-16,자본전액잠식 등,
1071,현대하이스코,010520,2015-07-15,해산 사유 발생,
1070,에이스하이텍,071930,2015-07-10,감사의견거절(감사범위 제한),
1069,SK브로드밴드,033630,2015-07-01,상장폐지신청('15.6.11),
1068,베셀,177350,2015-06-19,코스닥시장 이전상장,베셀
1067,티에스엠텍,066350,2015-05-20,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,
1066,태창파로스,039850,2015-05-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,
1065,씨앤케이인터,039530,2015-05-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,
1064,잘만테크,090120,2015-05-13,감사의견 거절(계속기업 존속능력에 대한 불확실성 및 감사범위 제한),
1063,해피드림,065180,2015-05-04,감사범위제한으로 인한 한정의견,
1062,스탠다드펌,179280,2015-04-30,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
1061,웹솔루스,160350,2015-04-30,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
1060,영진코퍼레이션,053330,2015-04-23,자본전액잠식,
1059,경남기업,000800,2015-04-15,자본전액잠식,
1058,삼환기업,000360,2015-04-15,자본전액잠식,
1057,자원메디칼,181980,2015-04-15,상장폐지 신청('15.03.23),
1056,신일건업,014350,2015-04-15,자본전액잠식,
1055,울트라건설,004320,2015-04-13,자본전액잠식,
1054,우양에이치씨,101970,2015-03-17,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래 정지,
1053,아시아5호,082240,2015-03-13,신청에 의한 상장폐지,
1052,아시아6호,082250,2015-03-13,신청에 의한 상장폐지,
1051,아시아7호,082260,2015-03-13,신청에 의한 상장폐지,
1050,케이비부국위탁리츠,149130,2015-03-02,감사의견 부적정,
1049,로케트전기,000420,2015-02-24,감사의견 의견거절,
1048,아시아8호,081930,2015-02-17,신청에 의한 상장폐지,
1047,국제엘렉트릭,053740,2015-02-10,상장폐지 신청('15.01.15),
1046,터보테크,032420,2015-01-27,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,
1045,디지텍시스템,091690,2015-01-21,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
1044,아시아4호,081210,2015-01-20,존속기간 만료,
1043,NH농협증권,016420,2015-01-20,해산 사유 발생,
1042,코크렙8호,090540,2015-01-16,해산 사유 발생,
1041,유니온스틸,003640,2015-01-16,해산 사유 발생,
1040,아시아9호,081940,2015-01-08,존속기간 만료,
1039,SBI모기지,950100,2015-01-07,신청에 의한 상장폐지,
1038,삼양엔텍,008720,2014-12-30,해산 사유 발생,
1037,아이티센,124500,2014-12-23,코스닥시장 이전상장,아이티센
1036,아시아3호,081200,2014-12-22,존속기간 만료,
1035,아시아2호,081190,2014-12-18,존속기간 만료,
1034,하이로닉,149980,2014-12-17,코스닥시장 이전상장,하이로닉
1033,랩지노믹스,084650,2014-12-16,코스닥시장 상장,랩지노믹스
1032,우리금융지주,053000,2014-11-19,해산 사유 발생,
1031,판타지오,187770,2014-11-10,피흡수합병,
1030,테라셈,182690,2014-10-30,코스닥시장 상장,테라셈
1029,퓨얼셀,139170,2014-10-30,피흡수합병,
1028,에프지엔개발리츠,119250,2014-10-29,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
1027,제일모직,001300,2014-07-15,해산 사유 발생,
1026,중국고섬,950070,2013-10-04,감사의견 의견거절,
1025,에스와이코퍼레이션,008080,2013-09-25,신청에 의한 상장폐지,
1024,위다스,056810,2013-09-10,의견거절(감사범위 제한),
1023,동북아2호,080030,2013-08-19,신청에 의한 상장폐지,
1022,지아이바이오,035450,2013-08-07,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
1021,IBKS스팩1호,126680,2013-07-29,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
1020,에스비엠,037630,2013-07-24,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
1019,전북은행,006350,2013-07-18,지주회사의 완전자회사화(지주회사 신규상장),
1018,동부티에스블랙펄스팩,128910,2013-07-15,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
1017,제너시스템즈,073930,2013-07-12,자본전액잠식,
1016,우경,025920,2013-07-10,감사의견거절(감사범위 제한),
1015,3노드디지탈,900010,2013-06-05,상장폐지 신청('13.05.08),
1014,글로스텍,012410,2013-06-04,감사의견 의견거절,
