"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20160101-20160630,20150101-20151231,20150101-20150630,20140101-20141231,20130101-20131231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity00122339_udf_CF_20141119173030599_CashFlowsFromUsedInInvestingActivities,매도가능증권의 취득,NEWAccount for Cash flows from (used in) investing activities (7),현금흐름표 [abstract],투자활동현금흐름,매도가능증권의 취득,,-900073261.0,2688964244.0,-10000000.0,1832230627.0,
entity00122339_udf_CF_201632819263616_CashFlowsFromUsedInInvestingActivities,현금및현금등가물(합병),NEWAccount for Cash flows from (used in) investing activities (8),현금흐름표 [abstract],투자활동현금흐름,현금및현금등가물(합병),,,17731759.0,17731759.0,,
ifrs_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,,-1118820959.0,16964558987.0,6329403973.0,12152019448.0,5855810530.0
entity00122339_udf_CF_2013321182253521_CashFlowsFromUsedInFinancingActivities,유상증자,NEWAccount for Cash flows from (used in) financing activities (1),현금흐름표 [abstract],재무활동현금흐름,유상증자,,2555915008.0,750000000.0,449998815.0,,4126098000.0
ifrs_ProceedsFromIssuingOtherEquityInstruments,신주인수권부사채의 발행,Proceeds from issuing other equity instruments,현금흐름표 [abstract],재무활동현금흐름,신주인수권부사채의 발행,,,9030000000.0,4529065360.0,6840000000.0,1050000000.0
entity00122339_udf_CF_2013322162515407_CashFlowsFromUsedInFinancingActivities,전환사채의 증가,NEWAccount for Cash flows from (used in) financing activities (7),현금흐름표 [abstract],재무활동현금흐름,전환사채의 증가,,,1680000000.0,1680000000.0,,
dart_ProceedsFromShortTermBorrowings,단기차입금의 증가,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 증가,,,446600000.0,25600000.0,,688143990.0
entity00122339_udf_CF_201332216260328_CashFlowsFromUsedInFinancingActivities,프로젝트예수금의 증가,NEWAccount for Cash flows from (used in) financing activities (8),현금흐름표 [abstract],재무활동현금흐름,프로젝트예수금의 증가,,,7617569823.0,,6301470497.0,
dart_RepaymentsOfShortTermBorrowings,단기차입금의 감소,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 감소,,-1118813999.0,318025802.0,-355260202.0,231483770.0,
dart_ProceedsFromLongTermBorrowings,장기차입금의 증가,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 증가,,,6000000000.0,,,
entity00122339_udf_CF_2013321182331302_CashFlowsFromUsedInFinancingActivities,신주인수권부사채의 감소,NEWAccount for Cash flows from (used in) financing activities (4),현금흐름표 [abstract],재무활동현금흐름,신주인수권부사채의 감소,,-2350000000.0,,,750000000.0,
entity00122339_udf_CF_2014829114536141_CashFlowsFromUsedInFinancingActivities,신주 및 사채 발행비용,NEWAccount for Cash flows from (used in) financing activities (11),현금흐름표 [abstract],재무활동현금흐름,신주 및 사채 발행비용,,,,,7967279.0,8431460.0
entity00122339_udf_CF_2016328194116304_CashFlowsFromUsedInFinancingActivities,프로젝트예수금의 감소,NEWAccount for Cash flows from (used in) financing activities (12),현금흐름표 [abstract],재무활동현금흐름,프로젝트예수금의 감소,,-43417500.0,8241585034.0,,,
ifrs_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의순증가(감소),,,-985849423.0,1567953217.0,8589609985.0,2081571341.0,-267804733.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,,5815263717.0,3589220796.0,3589220796.0,1165303369.0,353651145.0
entity00122339_udf_CF_201482912173479_StatementOfCashFlowsAbstract,연결대상범위 변동으로 인한 현금의 증감,NEWAccount for Statement of cash flows (1),현금흐름표 [abstract],연결대상범위 변동으로 인한 현금의 증감,,,-2956389183.0,658089704.0,-2149597.0,342346086.0,1079456957.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,,1873070192.0,5815263717.0,12176681184.0,3589220796.0,1165303369.0
