"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,,-21226335192.0,-11428332401.0,-165059747.0
ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금지급,Dividends paid,현금흐름표 [abstract],재무활동현금흐름,배당금지급,,9077414300.0,8252182600.0,
ifrs-full_InterestPaidClassifiedAsFinancingActivities,이자의 지급,Interest paid,현금흐름표 [abstract],재무활동현금흐름,이자의 지급,,160219432.0,176149801.0,165059747.0
dart_ProceedsFromShortTermBorrowings,단기차입금의 증가,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 증가,,15000000000.0,,
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,,9000000000.0,3000000000.0,
entity01135941_udf_CF_201959181152205_CashFlowsFromUsedInFinancingActivities,합병관련자기주식취득,exercise of the right to purchase shares,현금흐름표 [abstract],재무활동현금흐름,합병관련자기주식취득,,16333236671.0,,
ifrs-full_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채의 지급,Payments of lease liabilities,현금흐름표 [abstract],재무활동현금흐름,리스부채의 지급,,1655464789.0,,
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의순증가(감소),,,-77113682052.0,-21561921030.0,73959765428.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,,90885817528.0,112496281643.0,38938425630.0
entity01135941_udf_CF_201887172340156_StatementOfCashFlowsAbstract,외화표시 현금및현금성자산에 대한 환율변동효과,Effect of exchange rate change on cash and cash equivalents,현금흐름표 [abstract],외화표시 현금및현금성자산에 대한 환율변동효과,,,-58628266.0,-23703778.0,-359380851.0
entity01135941_udf_CF_2017118194119247_StatementOfCashFlowsAbstract,해외사업환산손익 효과,NEWAccount for Statement of cash flows,현금흐름표 [abstract],해외사업환산손익 효과,,,-173050150.0,-24839307.0,-42528564.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,,13540457060.0,90885817528.0,112496281643.0
